gene	sample	condition	age	cpm
ENSOCUG00000000060	rabA130	control	adult	55.9023425728952
ENSOCUG00000000060	rabA440	control	adult	55.2610085378759
ENSOCUG00000000060	rabA443	RHDV-1_24	adult	144.3679736317
ENSOCUG00000000060	rabA444	RHDV-1_12	adult	53.744026179873
ENSOCUG00000000060	rabA445	control	adult	46.286980646245
ENSOCUG00000000060	rabA446	control	adult	50.7390857355194
ENSOCUG00000000060	rabA447	control	adult	79.129089537887
ENSOCUG00000000060	rabA448	RHDV-1_24	adult	222.517663110554
ENSOCUG00000000060	rabA449	RHDV-1_24	adult	202.326744325885
ENSOCUG00000000060	rabA450	RHDV-1_24	adult	66.7704701263894
ENSOCUG00000000060	rabA451	RHDV-1_12	adult	60.3715241030871
ENSOCUG00000000060	rabA452	RHDV-1_12	adult	54.1113642383875
ENSOCUG00000000060	rabK10	RHDV-1_24	kitten	53.9809371934359
ENSOCUG00000000060	rabK11	control	kitten	38.9238740005633
ENSOCUG00000000060	rabK12	control	kitten	41.2415822239915
ENSOCUG00000000060	rabK13	RHDV-1_12	kitten	47.1679150053496
ENSOCUG00000000060	rabK14	control	kitten	41.6982268687956
ENSOCUG00000000060	rabK1	RHDV-1_12	kitten	50.9526512399079
ENSOCUG00000000060	rabK2	control	kitten	57.2440215073471
ENSOCUG00000000060	rabK375	RHDV-2_24	kitten	213.666744090309
ENSOCUG00000000060	rabK376	RHDV-2_24	kitten	143.49185570764
ENSOCUG00000000060	rabK377	RHDV-2_24	kitten	134.566395001715
ENSOCUG00000000060	rabK378	RHDV-2_24	kitten	178.333090496114
ENSOCUG00000000060	rabK379	RHDV-2_12	kitten	67.8348252047815
ENSOCUG00000000060	rabK380	RHDV-2_12	kitten	44.5934774271848
ENSOCUG00000000060	rabK381	RHDV-2_12	kitten	47.1391252679845
ENSOCUG00000000060	rabK3	control	kitten	42.7117762291235
ENSOCUG00000000060	rabK4	RHDV-1_24	kitten	142.552428485678
ENSOCUG00000000060	rabK5	RHDV-1_12	kitten	41.5100392006213
ENSOCUG00000000060	rabK6	RHDV-1_24	kitten	68.597798908518
ENSOCUG00000000060	rabK7	RHDV-1_12	kitten	51.3884264704153
ENSOCUG00000000060	rabK8	RHDV-1_24	kitten	99.0451587987213
ENSOCUG00000000060	rabK9	control	kitten	51.3996907415908
ENSOCUG00000000276	rabA130	control	adult	22.6665534805816
ENSOCUG00000000276	rabA440	control	adult	27.2139640035771
ENSOCUG00000000276	rabA443	RHDV-1_24	adult	66.6701510704226
ENSOCUG00000000276	rabA444	RHDV-1_12	adult	39.7886116503071
ENSOCUG00000000276	rabA445	control	adult	31.2261409565774
ENSOCUG00000000276	rabA446	control	adult	34.4048299981025
ENSOCUG00000000276	rabA447	control	adult	48.0927822498345
ENSOCUG00000000276	rabA448	RHDV-1_24	adult	182.209039566568
ENSOCUG00000000276	rabA449	RHDV-1_24	adult	140.452959511001
ENSOCUG00000000276	rabA450	RHDV-1_24	adult	24.0679572848589
ENSOCUG00000000276	rabA451	RHDV-1_12	adult	25.1503613209683
ENSOCUG00000000276	rabA452	RHDV-1_12	adult	23.0031860095656
ENSOCUG00000000276	rabK10	RHDV-1_24	kitten	30.0134010795504
ENSOCUG00000000276	rabK11	control	kitten	24.8126582240788
ENSOCUG00000000276	rabK12	control	kitten	21.8955309261919
ENSOCUG00000000276	rabK13	RHDV-1_12	kitten	24.4415559573175
